DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,Koktail enak,Alkohol,Toilet,Nyaman,Berkelompok,Menerima reservasi,Kartu debit,-,-
,Makan di tempat,,Bir,,Santai,,,Pembayaran NFC dengan ponsel,,
,,,Koktail,,,,,Kartu kredit,,
,,,Makanan,,,,,,,
,,,Minuman keras,,,,,,,
,,,Wine,,,,,,,
