DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,Makanan halal,Hidangan penutup,Cocok untuk anak-anak,Nyaman,-,-,-,-,-
,Makan di tempat,Menu untuk anak-anak,,,Santai,,,,,
