DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Hidangan larut malam,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-,-
,Pesan antar,,Kopi,Makan siang,Toilet,Santai,,,,
,Bawa pulang,,Makanan halal,Makan malam,,,,,,
,Makan di tempat,,Menu untuk anak-anak,Katering,,,,,,
,,,,Hidangan penutup,,,,,,
,,,,Tempat duduk,,,,,,
