DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Sarapan,Cocok untuk anak-anak,Santai,Berkelompok,Hanya tunai,-,-
,Bawa pulang,,Makanan halal,Brunch,,,,,,
,Makan di tempat,,,Makan siang,,,,,,
,,,,Tempat duduk,,,,,,
