DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
"Dapur Jawa yang menyajikan hidangan klasik, kopi, dan camilan di area tradisional dengan meja outdoor.",-,Tempat duduk di area terbuka,Musik live,Pintu masuk khusus pengguna kursi roda,Cepat saji,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi
,,Antar tanpa bertemu,Pelayanan cepat,Tempat parkir khusus pengguna kursi roda,Hidangan larut malam,Brunch,Kursi tinggi,Santai,Ramah keluarga,
,,Bawa pulang,,,Hidangan organik,Makan siang,Memiliki bar,,,
,,Makan di tempat,,,Kopi,Makan malam,Toilet,,,
,,,,,Makanan halal,Katering,Wi-Fi,,,
,,,,,Menu untuk anak-anak,Hidangan penutup,Wi-Fi Gratis,,,
,,,,,Pilihan menu sehat,Tempat duduk,,,,
,,,,,Pilihan menu vegetarian,,,,,
,,,,,Varian menu vegan,,,,,
