DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,Makanan halal,Makan siang,Cocok untuk anak-anak,Nyaman,Berkelompok,Kartu debit,-,-,-
,Makan di tempat,,Makan malam,,Santai,,Kartu kredit,,,
