DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
Menu spesial seafood dan minuman khas di lingkungan outdoor santai yang dikelilingi hutan hujan.,-,Tempat duduk di area terbuka,Tempat duduk di atap,Pintu masuk khusus pengguna kursi roda,Alkohol,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi
,,Antar tanpa bertemu,,Tempat parkir khusus pengguna kursi roda,Bir,Brunch,Kursi tinggi,Santai,,
,,Pesan antar,,,Koktail,Makan siang,Memiliki bar,,,
,,Bawa pulang,,,Kopi,Makan malam,Toilet,,,
,,Makan di tempat,,,Makanan halal,Katering,Toilet netral gender,,,
,,,,,Menu untuk anak-anak,Hidangan penutup,Wi-Fi,,,
,,,,,Pilihan menu vegetarian,Tempat duduk,Wi-Fi Gratis,,,
,,,,,Varian menu vegan,,,,,
