DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Ambil di tepi jalan,Makanan halal,Cocok untuk anak-anak,Nyaman,-,-,-,-,-,-
,Pesan antar,,,Santai,,,,,,
,Drive-through,,,,,,,,,
,Bawa pulang,,,,,,,,,
,Makan di tempat,,,,,,,,,
