DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Musik live,,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Hanya tunai
,Pesan antar,,,Makanan halal,Makan siang,Kursi tinggi,Santai,Ramah keluarga,,Kartu debit
,Bawa pulang,,,Menu untuk anak-anak,Makan malam,Toilet,,,,Kartu kredit
,Makan di tempat,,,,Katering,Wi-Fi,,,,
,,,,,Hidangan penutup,Wi-Fi Gratis,,,,
,,,,,Tempat duduk,,,,,
