DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Sarapan,Anjing boleh masuk,Nyaman,Berkelompok,Perlu janji temu,Hanya tunai,-
,Antar tanpa bertemu,,Minuman happy hour,Hidangan penutup,Toilet,Santai,Ramah keluarga,,Kartu debit,
,Pesan antar,,,Tempat duduk,Wi-Fi,,,,,
,Drive-through,,,,Wi-Fi Gratis,,,,,
,Bawa pulang,,,,,,,,,
,Makan di tempat,,,,,,,,,
