DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Kartu debit,-
,Bawa pulang,,Makanan halal,Makan siang,Toilet,Santai,,,Kartu kredit,
,Makan di tempat,,Menu untuk anak-anak,Makan malam,,,,,,
,,,,Katering,,,,,,
,,,,Hidangan penutup,,,,,,
,,,,Tempat duduk,,,,,,
