DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,,Makanan halal,Makan siang,Cocok untuk anak-anak,Nyaman,Menerima reservasi,-,-,-
,Makan di tempat,,,Makan malam,,Santai,,,,
