DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Ambil di tepi jalan,Alkohol,Toilet,Nyaman,Berkelompok,Menerima reservasi,-,-,-,-
,Antar tanpa bertemu,Bir,,Santai,,,,,,
,Pesan antar,Makanan,,,,,,,,
,Drive-through,,,,,,,,,
,Bawa pulang,,,,,,,,,
,Makan di tempat,,,,,,,,,
