DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-
,Antar tanpa bertemu,,Makanan halal,Makan siang,,Santai,,Pembayaran NFC dengan ponsel,,
,Pesan antar,,Menu untuk anak-anak,Makan malam,,,,,,
,Bawa pulang,,,Katering,,,,,,
,Makan di tempat,,,Tempat duduk,,,,,,
