DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Hidangan larut malam,Makan siang,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Hanya tunai,-
,Pesan antar,,Kopi,Makan malam,Toilet,Santai,Ramah keluarga,,,
,Bawa pulang,,Makanan halal,Katering,Wi-Fi,,,,,
,Makan di tempat,,Menu untuk anak-anak,Tempat duduk,Wi-Fi Gratis,,,,,
