DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,-,-,-,-
,Makan di tempat,Makanan halal,Makan siang,,Santai,,,,,
