DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Makan siang,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Kartu debit,-
,Bawa pulang,,Makanan halal,Makan malam,Toilet,Santai,,,Kartu kredit,
,Makan di tempat,,,Hidangan penutup,,,,,,
,,,,Tempat duduk,,,,,,
