DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Hidangan larut malam,Sarapan,Toilet,Nyaman,Berkelompok,Hanya tunai,-,-
,Bawa pulang,,Kopi,Makan siang,,Santai,,,,
,Makan di tempat,,,Makan malam,,,,,,
,,,,Tempat duduk,,,,,,
