DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Musik live,Toilet khusus pengguna kursi roda,Hidangan larut malam,Brunch,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Hanya tunai
,Pesan antar,Pertunjukan live,,Kopi,Makan siang,Kursi tinggi,Santai,,,
,Bawa pulang,,,Menu untuk anak-anak,Makan malam,Toilet,,,,
,Makan di tempat,,,,Hidangan penutup,,,,,
,,,,,Tempat duduk,,,,,
