DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Ambil di tepi jalan,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-,-
,Antar tanpa bertemu,Makanan halal,Makan siang,Wi-Fi,Santai,,Kartu debit,,,
,Pesan antar,,Tempat duduk,Wi-Fi Gratis,,,,,,
,Drive-through,,,,,,,,,
,Bawa pulang,,,,,,,,,
,Makan di tempat,,,,,,,,,
