DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Alkohol,Makan malam,Memiliki bar,Nyaman,Berkelompok,Menerima reservasi,-,-,-
,Bawa pulang,Bir,Hidangan penutup,Toilet,Santai,,,,,
,Makan di tempat,Koktail,Tempat duduk,,,,,,,
,,Kopi,,,,,,,,
,,Minuman keras,,,,,,,,
