DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,,Kopi,Makan siang,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-
,Makan di tempat,,Makanan halal,,Toilet,Santai,,,,
