DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Makan di tempat,Alkohol,Anjing boleh masuk,Nyaman,Berkelompok,Menerima reservasi,Hanya tunai,-,-,-
,,Makanan,Toilet,Santai,,,Kartu debit,,,
,,,Toilet netral gender,,,,Kartu kredit,,,
,,,Wi-Fi,,,,,,,
,,,Wi-Fi Gratis,,,,,,,
