DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-,-
,Antar tanpa bertemu,,,Makan siang,Kursi tinggi,Santai,,,,
,Pesan antar,,,Makan malam,Toilet,,,,,
,Bawa pulang,,,Hidangan penutup,,,,,,
,Makan di tempat,,,Tempat duduk,,,,,,
