DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,,Makanan halal,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-
,Makan di tempat,,,Makan siang,Toilet,Santai,,,,
,,,,Makan malam,,,,,,
