DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,Alkohol,Makan siang,Memiliki bar,Nyaman,Berkelompok,-,-,-,-
,Makan di tempat,Makanan,Makan malam,Toilet,Santai,,,,,
