DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
"Kafe tenang yang menyajikan kreasi minuman & kopi, plus camilan, hidangan daging & favorit lokal.",-,Tempat duduk di area terbuka,Musik live,Pintu masuk khusus pengguna kursi roda,Cepat saji,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi
,,Antar tanpa bertemu,Olahraga,Tempat parkir khusus pengguna kursi roda,Hidangan larut malam,Brunch,Kursi tinggi,Santai,Ramah keluarga,
,,Bawa pulang,Pelayanan cepat,,Kopi,Makan siang,Memiliki bar,,,
,,Makan di tempat,Pertunjukan live,,Menu untuk anak-anak,Makan malam,Toilet,,,
,,,,,Pilihan menu sehat,Hidangan penutup,Wi-Fi,,,
,,,,,Pilihan menu vegetarian,Tempat duduk,Wi-Fi Gratis,,,
