DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Tempat duduk di atap,,Bir,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Kartu debit
,Antar tanpa bertemu,,,Kopi,Brunch,Kursi tinggi,Santai,Ramah keluarga,,
,Pesan antar,,,Makanan siap saji,Makan siang,Memiliki bar,,,,
,Bawa pulang,,,,Makan malam,Toilet,,,,
,Makan di tempat,,,,Hidangan penutup,Wi-Fi,,,,
,,,,,Tempat duduk,Wi-Fi Gratis,,,,
