DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Ambil di tepi jalan,,Hidangan larut malam,Makan malam,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-
,Bawa pulang,,Kopi,,,Santai,,,,
,Makan di tempat,,,,,,,,,
