DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Makan siang,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-
,Pesan antar,,,Hidangan penutup,Toilet,Santai,,Pembayaran NFC dengan ponsel,,
,Bawa pulang,,,Tempat duduk,,,,,,
,Makan di tempat,,,,,,,,,
