DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Musik live,,Alkohol,Makan siang,Memiliki bar,Nyaman,Berkelompok,Menerima reservasi,Kartu debit
,Bawa pulang,Pertunjukan live,,Bir,Makan malam,Toilet,Santai,,,Kartu kredit
,Makan di tempat,,,Hidangan larut malam,Hidangan penutup,,,,,
,,,,Kopi,Tempat duduk,,,,,
,,,,Wine,,,,,,
