DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
Makanan lezat serta menu besar es dan minuman panas yang ditawarkan di kedai santai yang memiliki teras.,-,Tempat duduk di area terbuka,Musik live,Toilet khusus pengguna kursi roda,Alkohol,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi
,,Antar tanpa bertemu,Pelayanan cepat,,Hidangan larut malam,Brunch,Kursi tinggi,Santai,,
,,Pesan antar,Pertunjukan live,,Hidangan organik,Makan siang,Memiliki bar,,,
,,Bawa pulang,,,Kopi,Makan malam,Toilet,,,
,,Makan di tempat,,,Menu untuk anak-anak,Hidangan penutup,,,,
,,,,,,Tempat duduk,,,,
