DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Kopi,Makan siang,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-,-
,Bawa pulang,,Tempat duduk,Toilet,Santai,,,,,
,Makan di tempat,,,,,,,,,
