DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Musik live,Kursi khusus pengguna kursi roda,Hidangan larut malam,Makan malam,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Hanya tunai
,Bawa pulang,Pertunjukan live,Pintu masuk khusus pengguna kursi roda,Kopi,Katering,Toilet,Santai,,,
,Makan di tempat,,Tempat parkir khusus pengguna kursi roda,Menu untuk anak-anak,Hidangan penutup,,,,,
,,,,,Tempat duduk,,,,,
