PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Place_Name,,,,,,,
,https://www.google.com/maps/place/Gedhong+Pracimasana+Kepatihan+%EA%A7%8B%EA%A6%92%EA%A6%BC%EA%A6%9D%EA%A6%BA%EA%A6%B4%EA%A6%81%EA%A6%A5%EA%A6%BF%EA%A6%95%EA%A6%B6%EA%A6%A9%EA%A6%B1%EA%A6%A4%EA%A7%89/data=!4m7!3m6!1s0x2e7a582808527019:0xae2110f5fe147a3d!8m2!3d-7.7952132!4d110.3667704!16s%2Fg%2F11df7k0314!19sChIJGXBSCChYei4RPXoU_vUQIa4?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
