,Place_ID,Bar,Cafe,Restaurant
90,ChIJS9YGVstZei4RoLUnDQ5UTCc,0,1,0
91,ChIJ4xH2HrFZei4RHbqM6uR5Fi8,0,1,0
92,ChIJHcoTb4BZei4RxA3ibBrmUA8,0,1,0
93,ChIJMcS9UWhZei4RX2ItQbobdGs,0,1,0
94,ChIJM1Kwqctfei4RwcydCM40Hbw,0,1,0
95,ChIJJ5csXqxZei4R5E53W3wFC98,0,1,0
96,ChIJTwZhrFNYei4R00VBFwD35ZI,0,1,1
97,ChIJ5zoRUyRZei4RV91NA020L8k,0,1,0
98,ChIJ0XCxKl9Zei4RQU5noD6ScU8,0,1,0
99,ChIJRdiSfclZei4R0XJxvFn1o3A,0,1,0
100,ChIJNa6cb7ZZei4R82akWhknyt8,1,1,0
101,ChIJezV4H2RZei4RfrbJIk2EqO4,0,1,0
102,ChIJVapN4JpZei4RcWg8IfiJlRw,0,1,0
103,ChIJ28qGzUxZei4RENmJ_POa1CA,0,1,0
104,ChIJaZf12R5Zei4R7FA67p9nm1c,0,1,0
105,ChIJPQ5vhhZZei4RWED_xRyBtWI,0,1,0
106,ChIJa6q2l_9Zei4RFV798Fk0ssU,0,1,0
107,ChIJK03X8MpZei4RbT0c4g1Jj7U,0,1,0
108,ChIJRxjMo8ZZei4RsktewaZ01ao,0,1,0
109,ChIJQ0xdfsdZei4R7brC65XjZq0,0,1,0
110,ChIJwYfsrwdZei4RmTWBamXsYzo,0,1,1
111,ChIJI9LzDbZZei4RitX3f9RE6s8,0,0,1
112,ChIJT4C2kUZZei4RDc-3-pd3dsY,0,1,0
113,ChIJHUbu2EdZei4R-00ZbQzVotU,0,1,0
114,ChIJ-z3rHQZZei4RV56QRz6t7Wg,0,1,0
115,ChIJLRkcicZZei4ReNTG9wQChos,0,1,0
116,ChIJVRf53J8Aey4R6HeAu6FrEuM,0,1,0
117,ChIJT2G5C-4Bey4RF229hMb8nMI,0,1,0
118,ChIJb6p5FnYBey4RqGwrrLiWzJs,0,1,0
119,ChIJ78JrDTKrey4RGdLulYrFzbY,0,1,0
120,ChIJ-2etA9ABey4RU42x6nFD9WU,0,1,0
121,ChIJ4fuAdZ8Aey4RYNBNn-NEFGA,0,1,0
122,ChIJkZPCGp8Aey4RvxeFSsPS5W0,0,1,0
123,ChIJf12tTJ4Aey4RVWk5JDdChEk,0,1,0
124,ChIJhxlbB2sBey4Rd_mrw7i6OaU,0,1,0
125,ChIJE5n1K58Aey4RLQwDvRIuWiQ,0,1,0
126,ChIJPdDmIOMBey4RPTKt8iiDYJA,0,1,0
127,ChIJV2WYuherey4RKwKcD_GQ_Q4,0,1,0
128,ChIJdXKNIwuqey4R46EIaDfOkbM,0,1,0
129,ChIJr8VgoBYBey4RPgC9oYEES0M,0,1,0
130,ChIJsbPIDX8Bey4RPPFpxdREz4U,0,1,0
131,ChIJS6KJDSkBey4RjBNGjB2-Kxs,0,1,0
132,ChIJ5YF5RWwBey4R-BoB2HlWWSs,0,1,0
133,ChIJa6fDq_2rey4RDfAo0HoAbaM,0,1,1
134,ChIJU39AYwyqey4RXFIG9IudN8M,0,0,1
135,ChIJOYVyjqkBey4RpSOaFyIhKls,0,1,0
136,ChIJKTTp059bei4RKbmaYe2DVqc,0,1,0
137,ChIJMWkbvnVbei4R24WkW1g4in4,0,1,0
138,ChIJjSpLOLNbei4R1MONfMmN1-o,0,1,0
139,ChIJeSRxrOlbei4RZoUOsJoKhDE,0,1,0
140,ChIJs-e74Ihbei4R0xYwqyguij0,0,1,0
141,ChIJhSRJF-daei4R6FfrCyPPybE,0,1,0
142,ChIJeVvZYbRbei4R0Oen5-mtvx0,0,1,1
143,ChIJh7g66-Faei4Ra4G6wWJFSVA,0,1,0
144,ChIJm5YEmQhbei4RV5D59a-OarI,0,1,0
145,ChIJW89Hosxbei4R_jLguRjFlnY,0,1,0
146,ChIJ1S991htbei4RGll7g6aWIsY,0,1,0
147,ChIJi9Ssfe1bei4RpavVWymV5t0,0,1,0
148,ChIJwbFXBOOqGgURSAekPjxdTUs,0,0,1
149,ChIJ1WmgnDxbei4R6O339nsucgk,0,1,0
150,ChIJT6_Y67Rbei4Rd-BPK1DiHPk,0,1,0
151,ChIJUZJCt5hbei4RpGHOvHc5tsQ,0,1,0
152,ChIJ-UhWzNZbei4Rd1P09xwuUY0,0,1,0
153,ChIJ94jeWt5aei4RzjGh11KmctM,0,1,0
154,ChIJfWi4cAxbei4RyMl7QpA5EwU,0,1,0
155,ChIJDc4stSNbei4RV8-M0Ncy51Y,0,0,1
156,ChIJW3qqdF9Zei4R__z2cQjHXQA,0,0,1
157,ChIJ6yf1WiRYei4RZNWve1zo5z4,0,0,1
158,ChIJXRP5TCRYei4RZE_t4JXac3M,0,0,1
159,ChIJu9dtcTBYei4R9xN1qL4ADlI,0,0,1
160,ChIJU7vbeDpYei4R745ulpnklV8,0,0,1
161,ChIJU6EsZTpYei4R9lvG3M9zrss,0,0,1
162,ChIJKzX1KWpZei4RaREvlF9dfz8,0,0,1
163,ChIJu3Iju_JZei4Rp4lHMhTTQhM,0,0,1
164,ChIJAc6cnmtZei4RWw5l_UGCy5E,0,0,1
165,ChIJT-p9AJRZei4Ri7T4Sdn_KDI,0,0,1
166,ChIJIaXI-ahZei4Rq1kqDh3QeZk,0,0,1
