DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,Toilet khusus pengguna kursi roda,Kopi,Hidangan penutup,Cocok untuk anak-anak,Nyaman,Berkelompok,-,-,-
,Makan di tempat,,,,Toilet,Santai,,,,
