DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Sarapan,Nyaman,Berkelompok,Hanya tunai,-,-,-
,Bawa pulang,,,Tempat duduk,Santai,,,,,
,Makan di tempat,,,,,,,,,
