DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Musik live,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-
,Pesan antar,Perapian,Makanan happy hour,Brunch,Kursi tinggi,Santai,Ramah keluarga,Kartu debit,,
,Bawa pulang,Pertunjukan live,Makanan siap saji,Makan siang,Memiliki bar,,,,,
,Makan di tempat,,Menu untuk anak-anak,Makan malam,Toilet,,,,,
,,,Minuman happy hour,Katering,Wi-Fi,,,,,
,,,,Hidangan penutup,Wi-Fi Gratis,,,,,
,,,,Tempat duduk,,,,,,
