DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Kopi,Sarapan,Toilet,Nyaman,Berkelompok,Kartu debit,-,-,-
,Pesan antar,,Makan siang,,Santai,,Pembayaran NFC dengan ponsel,,,
,Bawa pulang,,Makan malam,,,,Kartu kredit,,,
,Makan di tempat,,Tempat duduk,,,,,,,
