DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Ambil di tepi jalan,Makanan halal,Makan siang,Cocok untuk anak-anak,Santai,-,-,-,-,-
,Bawa pulang,,Makan malam,,,,,,,
,Makan di tempat,,,,,,,,,
