DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Hidangan larut malam,Makan malam,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-,-
,Ambil di tepi jalan,Kopi,Tempat duduk,,Santai,,,,,
,Pesan antar,Menu untuk anak-anak,,,,,,,,
,Bawa pulang,,,,,,,,,
,Makan di tempat,,,,,,,,,
