DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Brunch,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-,-
,Pesan antar,,Makanan halal,Makan siang,Toilet,Santai,,,,
,Bawa pulang,,Menu untuk anak-anak,Makan malam,,,,,,
,Makan di tempat,,,Tempat duduk,,,,,,
