DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-,-
,Bawa pulang,,,Brunch,Toilet,Santai,,,,
,Makan di tempat,,,Makan malam,,,,,,
,,,,Hidangan penutup,,,,,,
,,,,Tempat duduk,,,,,,
