DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Pintu masuk khusus pengguna kursi roda,Kopi,Sarapan,Toilet,Nyaman,Berkelompok,Hanya tunai,-,-
,Bawa pulang,,Makanan siap saji,Brunch,Wi-Fi,Santai,,,,
,Makan di tempat,,Pilihan menu vegetarian,Makan siang,Wi-Fi Gratis,,,,,
,,,,Hidangan penutup,,,,,,
,,,,Tempat duduk,,,,,,
