DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Pesan antar,,Makanan halal,Cocok untuk anak-anak,Nyaman,-,-,-,-,-
,Bawa pulang,,,,Santai,,,,,
,Makan di tempat,,,,,,,,,
