DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Hidangan larut malam,Makan siang,Toilet,Nyaman,Berkelompok,Hanya tunai,-,-
,Bawa pulang,,Kopi,Makan malam,,Santai,,,,
,Makan di tempat,,,Tempat duduk,,,,,,
