DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
"Tempat nongkrong yang menyajikan berbagai makanan ringan plus kopi, koktail, bir, wine, dan musik live.",-,Tempat duduk di area terbuka,Koktail enak,Alkohol,Tempat duduk,Toilet,Nyaman,Berkelompok,Menerima reservasi,-
,,Bawa pulang,Musik live,Bir,,,Santai,,,
,,Makan di tempat,Pertunjukan live,Koktail,,,,,,
,,,,Makanan,,,,,,
,,,,Makanan di bar,,,,,,
,,,,Minuman keras,,,,,,
,,,,Wine,,,,,,
