DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,,Kopi,Makan siang,Toilet,Nyaman,Berkelompok,Menerima reservasi,-,-
,Makan di tempat,,,Makan malam,,Santai,,,,
