DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Tempat parkir khusus pengguna kursi roda,Kopi,Brunch,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Kartu debit,-
,Antar tanpa bertemu,,Menu untuk anak-anak,Makan siang,Toilet,Santai,Ramah keluarga,,Kartu kredit,
,Pesan antar,,,Makan malam,Toilet netral gender,,,,,
,Bawa pulang,,,Hidangan penutup,Wi-Fi,,,,,
,Makan di tempat,,,Tempat duduk,Wi-Fi Gratis,,,,,
