DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
"Ruang besar bergaya industri dengan banyak pilihan minuman, dinding tertutup tanaman hijau, dan 2 taman bir.",-,Tempat duduk di area terbuka,Karaoke,,Alkohol,Tempat duduk,Toilet,Nyaman,Berkelompok,Menerima reservasi
,,Bawa pulang,Koktail enak,,Bir,,,Santai,,
,,Makan di tempat,Makanan bar enak,,Koktail,,,,,
,,,Musik live,,Makanan,,,,,
,,,Olahraga,,Makanan di bar,,,,,
,,,Permainan bar,,Minuman keras,,,,,
,,,Pertunjukan live,,Wine,,,,,
