DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Tempat duduk,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-,-
,Bawa pulang,,Makanan halal,,,Santai,,,,
,Makan di tempat,,,,,,,,,
