DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Bawa pulang,Kopi,Makan siang,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-,-,-
,Makan di tempat,Makanan halal,Makan malam,Toilet,Santai,,,,,
,,Menu untuk anak-anak,,,,,,,,
