DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,,Kopi,Brunch,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-,-
,Antar tanpa bertemu,,,Makan siang,Toilet,Santai,,,,
,Pesan antar,,,Makan malam,Wi-Fi,,,,,
,Bawa pulang,,,Hidangan penutup,Wi-Fi Gratis,,,,,
,Makan di tempat,,,Tempat duduk,,,,,,
