DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Antar tanpa bertemu,,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-,-
,Pesan antar,,Makanan halal,Brunch,Toilet,Santai,,,,
,Bawa pulang,,,Makan siang,,,,,,
,Makan di tempat,,,Makan malam,,,,,,
