DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Musik live,,Alkohol,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-
,Ambil di tepi jalan,Pertunjukan live,,Hidangan larut malam,Makan siang,Kursi tinggi,Santai,Ramah keluarga,,
,Antar tanpa bertemu,,,Kopi,Hidangan penutup,Memiliki bar,,,,
,Pesan antar,,,,Tempat duduk,Toilet,,,,
,Bawa pulang,,,,,Wi-Fi,,,,
,Makan di tempat,,,,,Wi-Fi Gratis,,,,
