DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Musik live,,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Kartu debit
,Antar tanpa bertemu,Pertunjukan live,,Makanan siap saji,Brunch,Kursi tinggi,Santai,Ramah keluarga,,Kartu kredit
,Pesan antar,,,,Makan siang,Memiliki bar,,,,
,Bawa pulang,,,,Makan malam,Toilet,,,,
,Makan di tempat,,,,Hidangan penutup,Toilet netral gender,,,,
,,,,,Tempat duduk,Wi-Fi,,,,
,,,,,,Wi-Fi Gratis,,,,
