DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Kopi,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Kartu debit,-,-
,Antar tanpa bertemu,Menu untuk anak-anak,Brunch,Toilet,Santai,,,Kartu kredit,,
,Pesan antar,,Makan siang,Wi-Fi,,,,,,
,Bawa pulang,,Makan malam,Wi-Fi Gratis,,,,,,
,Makan di tempat,,Hidangan penutup,,,,,,,
,,,Tempat duduk,,,,,,,
