DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
Restoran kasual di kompleks museum menyajikan masakan klasik Jawa yang juga tempat makan keluarga kerajaan.,-,Tempat duduk di area terbuka,Pelayanan cepat,Bir,Sarapan,Cocok untuk anak-anak,Kelas atas,Berkelompok,Menerima reservasi,Kartu debit
,,Antar tanpa bertemu,,Hidangan organik,Brunch,Toilet,Nyaman,Ramah keluarga,,Kartu kredit
,,Pesan antar,,Kopi,Makan siang,,Santai,,,
,,Bawa pulang,,Makanan halal,Makan malam,,,,,
,,Makan di tempat,,Menu untuk anak-anak,Katering,,,,,
,,,,Pilihan menu sehat,Hidangan penutup,,,,,
,,,,Pilihan menu vegetarian,Tempat duduk,,,,,
