DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Perapian,,Hidangan larut malam,Makan malam,Toilet,Nyaman,Berkelompok,Hanya tunai,-
,Antar tanpa bertemu,,,Makanan halal,Tempat duduk,,Santai,,,
,Pesan antar,,,Pilihan menu sehat,,,,,,
,Bawa pulang,,,,,,,,,
,Makan di tempat,,,,,,,,,
