DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Pesan antar,Makanan halal,Makan malam,Cocok untuk anak-anak,Nyaman,-,-,-,-,-
,Bawa pulang,Menu untuk anak-anak,,,Santai,,,,,
,Makan di tempat,,,,,,,,,
