DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Pelayanan cepat,,Cepat saji,Makan siang,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-
,Antar tanpa bertemu,,,Kopi,Makan malam,,Santai,Ramah keluarga,,
,Pesan antar,,,Makanan halal,Tempat duduk,,,,,
,Bawa pulang,,,Pilihan menu vegetarian,,,,,,
,Makan di tempat,,,,,,,,,
