DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Hidangan larut malam,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,-,-,-
,Bawa pulang,Kopi,Makan siang,Kursi tinggi,Santai,,,,,
,Makan di tempat,Makanan halal,Makan malam,Toilet,,,,,,
,,Menu untuk anak-anak,Katering,,,,,,,
,,,Hidangan penutup,,,,,,,
,,,Tempat duduk,,,,,,,
