DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Olahraga,Kursi khusus pengguna kursi roda,Hidangan larut malam,Tempat duduk,Cocok untuk anak-anak,Nyaman,Berkelompok,Hanya tunai,-
,Ambil di tepi jalan,Pertunjukan live,Pintu masuk khusus pengguna kursi roda,Hidangan organik,,Toilet,Santai,Ramah keluarga,Kartu debit,
,Pesan antar,,,Koktail,,Toilet netral gender,,,,
,Drive-through,,,Kopi,,Wi-Fi,,,,
,Bawa pulang,,,Makanan siap saji,,Wi-Fi Gratis,,,,
,Makan di tempat,,,Menu untuk anak-anak,,,,,,
,,,,Pilihan menu vegetarian,,,,,,
